ccn,name,city,county,county_fips,zip,hospital_type,critical_access,ownership,emergency_services,health_system,county_rural,county_rucc,in_cehrt_bundle,endpoint_resolvable,org_endpoint_linked,ehr_vendor,vendor_record_synthetic,match_method
390115,JEFFERSON HEALTH- NORTHEAST,PHILADELPHIA,PHILADELPHIA,42101,19114,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Jefferson Health,False,1,True,True,False,Epic,False,name_city_token
390116,SUBURBAN COMMUNITY HOSPITAL,NORRISTOWN,MONTGOMERY,42091,19401,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,True,athenahealth,False,name_city_exact
390117,UPMC BEDFORD MEMORIAL,EVERETT,BEDFORD,42009,15537,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,True,8,True,True,False,Epic,False,name_city_exact
390123,POTTSTOWN HOSPITAL,POTTSTOWN,MONTGOMERY,42091,19464,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390125,WAYNE MEMORIAL HOSPITAL,HONESDALE,WAYNE,42127,18431,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,6,True,True,True,MEDITECH,False,name_city_exact
390127,PHOENIXVILLE HOSPITAL,PHOENIXVILLE,CHESTER,42029,19460,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,PITTSBURGH,ALLEGHENY,42003,15240,Acute Care - Veterans Administration,False,Veterans Health Administration,True,,False,1,True,True,True,AdvancedMD,True,name_city_token
390133,LEHIGH VALLEY HOSPITAL,ALLENTOWN,LEHIGH,42077,18103,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Lehigh Valley Health Network,False,2,True,True,True,athenahealth,False,name_city_exact
390137,WILKES-BARRE GENERAL HOSPITAL,WILKES-BARRE,LUZERNE,42079,18764,Acute Care Hospitals,False,Proprietary,True,,False,2,True,True,False,Epic,False,name_city_token
390138,WELLSPAN WAYNESBORO HOSPITAL,WAYNESBORO,FRANKLIN,42055,17268,Acute Care Hospitals,False,Voluntary non-profit - Private,True,WellSpan Health,False,3,True,True,False,Epic,False,name_city_exact
390139,BRYN MAWR HOSPITAL,BRYN MAWR,MONTGOMERY,42091,19010,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,True,athenahealth,False,name_city_exact
39013F,WILKES BARRE VA MEDICAL CENTER,WILKES-BARRE,LUZERNE,42079,18711,Acute Care - Veterans Administration,False,Veterans Health Administration,True,Veterans Health Administration,False,2,True,True,False,Epic,False,name_city_token
390142,JEFFERSON EINSTEIN PHILADELPHIA HOSPITAL,PHILADELPHIA,PHILADELPHIA,42101,19141,Acute Care Hospitals,False,Voluntary non-profit - Other,True,Jefferson Health,False,1,False,False,False,,False,
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,GREENSBURG,WESTMORELAND,42129,15601,Acute Care Hospitals,False,Voluntary non-profit - Other,True,Excela Health,False,1,False,False,False,,False,
390146,WARREN GENERAL HOSPITAL,WARREN,WARREN,42123,16365,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,6,True,True,True,MEDITECH,False,name_city_exact
390147,PENN HIGHLANDS MON VALLEY,MONONGAHELA,WASHINGTON,42125,15063,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Penn Highlands Healthcare,False,1,False,False,False,,False,
390150,UPMC GREENE,WAYNESBURG,GREENE,42059,15370,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,True,6,True,True,False,Epic,False,name_city_exact
390151,WELLSPAN CHAMBERSBURG HOSPITAL,CHAMBERSBURG,FRANKLIN,42055,17201,Acute Care Hospitals,False,Voluntary non-profit - Private,True,WellSpan Health,False,3,True,True,False,Epic,False,name_city_exact
390153,PAOLI HOSPITAL,PAOLI,CHESTER,42029,19301,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,True,athenahealth,False,name_city_exact
390156,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,DARBY,DELAWARE,42045,19023,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,False,False,False,,False,
390160,CANONSBURG GENERAL HOSPITAL,CANONSBURG,WASHINGTON,42125,15317,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390162,ST LUKE'S HOSPITAL - EASTON CAMPUS,EASTON,NORTHAMPTON,42095,18042,Acute Care Hospitals,False,Voluntary non-profit - Private,True,St. Luke's University Health Network,False,2,True,True,False,Epic,False,name_city_exact
390163,ACMH HOSPITAL,KITTANNING,ARMSTRONG,42005,16201,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,True,athenahealth,False,name_city_exact
390164,UPMC PRESBYTERIAN SHADYSIDE,PITTSBURGH,ALLEGHENY,42003,15213,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,1,True,True,True,athenahealth,False,name_city_exact
390168,INDEPENDENCE HEALTH SYSTEM BUTLER MEMORIAL HOSPITA,BUTLER,BUTLER,42019,16001,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,False,False,False,,False,
390173,INDIANA REGIONAL MEDICAL CENTER,INDIANA,INDIANA,42063,15701,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,4,True,True,True,Oracle Health (Cerner),False,name_city_exact
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,PHILADELPHIA,PHILADELPHIA,42101,19107,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Jefferson Health,False,1,True,True,False,Epic,False,name_city_exact
390178,UPMC HORIZON,GREENVILLE,MERCER,42085,16125,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,True,4,True,True,False,Epic,False,name_city_token
390179,CHESTER COUNTY HOSPITAL,WEST CHESTER,CHESTER,42029,19380,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390180,CROZER CHESTER MEDICAL CENTER,UPLAND,DELAWARE,42045,19013,Acute Care Hospitals,False,Voluntary non-profit - Other,True,Crozer Health,False,1,False,False,False,,False,
390183,ST LUKE'S MINERS MEMORIAL HOSPITAL,COALDALE,SCHUYLKILL,42107,18218,Acute Care Hospitals,False,Voluntary non-profit - Private,True,St. Luke's University Health Network,True,4,True,True,False,Epic,False,name_city_token
390184,PENN HIGHLANDS CONNELLSVILLE,CONNELLSVILLE,FAYETTE,42051,15425,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Penn Highlands Healthcare,False,1,False,False,False,,False,
390185,LEHIGH VALLEY HOSPITAL - HAZLETON,HAZLETON,LUZERNE,42079,18201,Acute Care Hospitals,False,Voluntary non-profit - Other,True,Lehigh Valley Health Network,False,2,True,True,False,Epic,False,name_city_exact
390195,MAIN LINE HOSPITAL LANKENAU,WYNNEWOOD,MONTGOMERY,42091,19096,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Main Line Health,False,1,True,True,False,Epic,False,name_city_exact
390198,LECOM MEDICAL CENTER AND BEHAVIORAL HEALTH PAV,ERIE,ERIE,42049,16509,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,2,False,False,False,,False,
390199,PUNXSUTAWNEY AREA HOSPITAL,PUNXSUTAWNEY,JEFFERSON,42065,15767,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,7,True,True,True,athenahealth,False,name_city_exact
390201,LEHIGH VALLEY HOSPITAL - POCONO,EAST STROUDSBURG,MONROE,42089,18301,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Lehigh Valley Health Network,True,4,True,True,False,Epic,False,name_city_exact
