npi,org_pac_id,org_name,tier,endpoint,vendor,evidence
1053386557,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053389783,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053500470,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053571141,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053573428,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053758094,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053765784,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053804583,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053828913,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053900365,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1053932566,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063025625,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063090108,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063492205,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063515237,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063625614,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
